store,week,product,quantity,count,price,promotion,cost,price_carton,price_50tab_equiv,cost_50tab_equiv,quantity_50tab_equiv,cost_50tab_equiv_mean,market_share,market_share_mean
73,1,1,18,26190,3.26,0,2.03,3.4204652,6.52,4.0599999,9,4.3645377,.079646021,.066228166
94,13,1,16,18978,3.27,0,2.0799999,3.4204652,6.54,4.1599998,8,4.3645377,.064516127,.066228166
112,47,1,29,27750,3.48,0,2.2,3.4204652,6.96,4.4000001,14.5,4.3645377,.075520836,.066228166
21,20,1,15,16023,3.4400001,0,2.1700001,3.4204652,6.8800001,4.3400002,7.5,4.3645377,.073529415,.066228166
73,37,1,16,25991,3.53,0,2.25,3.4204652,7.0599999,4.5,8,4.3645377,.048632219,.066228166
28,20,1,9,13831,3.45,0,2.1900001,3.4204652,6.9000001,4.3800001,4.5,4.3645377,.084905662,.066228166
93,13,1,17,20384,3.3,0,2.1199999,3.4204652,6.5999999,4.2399998,8.5,4.3645377,.072961375,.066228166
75,33,1,22,23880,3.54,0,2.27,3.4204652,7.0799999,4.54,11,4.3645377,.11055277,.066228166
52,47,1,16,15686,3.55,0,2.27,3.4204652,7.0999999,4.54,8,4.3645377,.064257026,.066228166
32,20,1,8,28967,3.5599999,0,2.3099999,3.4204652,7.1199999,4.6199999,4,4.3645377,.041884817,.066228166
92,13,1,18,17804,3.26,0,2.0799999,3.4204652,6.52,4.1599998,9,4.3645377,.11042945,.066228166
33,20,1,14,24055,3.54,0,2.28,3.4204652,7.0799999,4.5599999,7,4.3645377,.097902097,.066228166
122,2,1,22,26151,3.3499999,0,2.1300001,3.4204652,6.6999998,4.2600002,11,4.3645377,.050691243,.066228166
91,13,1,7,15838,3.3399999,0,2.1800001,3.4204652,6.6799998,4.3600001,3.5,4.3645377,.0546875,.066228166
70,40,1,12,20442,3.51,0,2.23,3.4204652,7.02,4.46,6,4.3645377,.047430828,.066228166
111,41,1,26,33887,3.52,0,2.25,3.4204652,7.04,4.5,13,4.3645377,.14772727,.066228166
40,20,1,14,20194,3.49,0,2.22,3.4204652,6.98,4.4400001,7,4.3645377,.072164945,.066228166
90,13,1,1,16283,3.45,0,2.2,3.4204652,6.9000001,4.4000001,.5,4.3645377,.037037037,.066228166
44,20,1,11,17445,3.51,0,2.25,3.4204652,7.02,4.5,5.5,4.3645377,.050691243,.066228166
45,20,1,16,14246,3.5,0,2.24,3.4204652,7,4.48,8,4.3645377,.086021505,.066228166
89,13,1,8,22370,3.23,0,2.03,3.4204652,6.46,4.0599999,4,4.3645377,.052631579,.066228166
106,45,1,10,12785,3.5599999,0,2.27,3.4204652,7.1199999,4.54,5,4.3645377,.068027213,.066228166
47,20,1,14,12736,3.52,0,2.25,3.4204652,7.04,4.5,7,4.3645377,.10606061,.066228166
76,33,1,22,24093,3.52,0,2.27,3.4204652,7.04,4.54,11,4.3645377,.060273971,.066228166
86,13,1,20,21098,3.3099999,0,2.1199999,3.4204652,6.6199999,4.2399998,10,4.3645377,.092165902,.066228166
68,40,1,18,16246,3.55,0,2.29,3.4204652,7.0999999,4.5799999,9,4.3645377,.095238097,.066228166
48,20,1,11,12968,3.47,0,2.1900001,3.4204652,6.9400001,4.3800001,5.5,4.3645377,.070063695,.066228166
49,20,1,12,11611,3.54,0,2.28,3.4204652,7.0799999,4.5599999,6,4.3645377,.10526316,.066228166
84,13,1,19,15492,3.29,0,2.1199999,3.4204652,6.5799999,4.2399998,9.5,4.3645377,.11728395,.066228166
112,41,1,16,33693,3.52,0,2.26,3.4204652,7.04,4.52,8,4.3645377,.030360531,.066228166
71,36,1,8,18730,3.5899999,0,2.3099999,3.4204652,7.1799998,4.6199999,4,4.3645377,.045454547,.066228166
50,20,1,13,12019,3.5799999,0,2.3199999,3.4204652,7.1599998,4.6399999,6.5,4.3645377,.11403508,.066228166
83,13,1,19,23825,3.3199999,0,2.1199999,3.4204652,6.6399999,4.2399998,9.5,4.3645377,.085972853,.066228166
51,20,1,11,16626,3.49,0,2.22,3.4204652,6.98,4.4400001,5.5,4.3645377,.054455444,.066228166
121,2,1,15,20137,3.3099999,0,2.0799999,3.4204652,6.6199999,4.1599998,7.5,4.3645377,.042016808,.066228166
81,13,1,21,22316,3.3,0,2.1199999,3.4204652,6.5999999,4.2399998,10.5,4.3645377,.11666667,.066228166
52,20,1,13,19167,3.4000001,0,2.1400001,3.4204652,6.8000002,4.2800002,6.5,4.3645377,.070652172,.066228166
67,40,1,10,13922,3.49,0,2.22,3.4204652,6.98,4.4400001,5,4.3645377,.057142857,.066228166
80,13,1,17,25522,3.3299999,0,2.1500001,3.4204652,6.6599998,4.3000002,8.5,4.3645377,.055194806,.066228166
51,47,1,14,13607,3.54,0,2.27,3.4204652,7.0799999,4.54,7,4.3645377,.050000001,.066228166
53,20,1,10,15901,3.51,0,2.25,3.4204652,7.02,4.5,5,4.3645377,.084745765,.066228166
77,33,1,13,17216,3.45,0,2.2,3.4204652,6.9000001,4.4000001,6.5,4.3645377,.052208837,.066228166
54,20,1,12,15964,3.5799999,0,2.29,3.4204652,7.1599998,4.5799999,6,4.3645377,.064864866,.066228166
78,13,1,10,18327,3.29,0,2.1099999,3.4204652,6.5799999,4.2199998,5,4.3645377,.069444448,.066228166
113,47,1,15,19598,3.52,0,2.25,3.4204652,7.04,4.5,7.5,4.3645377,.056603774,.066228166
113,41,1,12,26018,3.5599999,0,2.29,3.4204652,7.1199999,4.5799999,6,4.3645377,.051063828,.066228166
56,20,1,10,14988,3.52,0,2.27,3.4204652,7.04,4.54,5,4.3645377,.062893085,.066228166
77,13,1,16,16826,3.29,0,2.0999999,3.4204652,6.5799999,4.1999998,8,4.3645377,.093567252,.066228166
59,20,1,18,13517,.99000001,.77999997,.63,3.4204652,1.98,1.26,9,4.3645377,.093264252,.066228166
76,13,1,21,20895,3.3,0,2.1199999,3.4204652,6.5999999,4.2399998,10.5,4.3645377,.10096154,.066228166
78,33,1,13,18310,3.4300001,0,2.1700001,3.4204652,6.8600001,4.3400002,6.5,4.3645377,.060747664,.066228166
64,40,1,15,12087,3.45,0,2.2,3.4204652,6.9000001,4.4000001,7.5,4.3645377,.095541403,.066228166
62,20,1,11,15380,3.45,0,2.1900001,3.4204652,6.9000001,4.3800001,5.5,4.3645377,.055276383,.066228166
75,13,1,22,23985,3.3099999,0,2.1400001,3.4204652,6.6199999,4.2800002,11,4.3645377,.11764706,.066228166
64,20,1,9,13039,3.53,0,2.26,3.4204652,7.0599999,4.52,4.5,4.3645377,.055555556,.066228166
67,20,1,10,13679,3.52,0,2.27,3.4204652,7.04,4.54,5,4.3645377,.057142857,.066228166
74,13,1,22,22445,3.3499999,0,2.1800001,3.4204652,6.6999998,4.3600001,11,4.3645377,.094420604,.066228166
119,2,1,15,16660,3.3199999,0,2.0999999,3.4204652,6.6399999,4.1999998,7.5,4.3645377,.074257426,.066228166
68,20,1,11,18906,3.47,0,2.21,3.4204652,6.9400001,4.4200001,5.5,4.3645377,.088,.066228166
110,48,1,30,18597,3.52,0,2.24,3.4204652,7.04,4.48,15,4.3645377,.07109005,.066228166
73,13,1,21,26803,3.3,0,2.1300001,3.4204652,6.5999999,4.2600002,10.5,4.3645377,.078066915,.066228166
70,20,1,19,23183,3.47,0,2.2,3.4204652,6.9400001,4.4000001,9.5,4.3645377,.095959596,.066228166
114,41,1,19,34273,3.4400001,0,2.1900001,3.4204652,6.8800001,4.3800001,9.5,4.3645377,.045454547,.066228166
48,44,1,9,13476,3.6099999,0,2.3399999,3.4204652,7.2199998,4.6799998,4.5,4.3645377,.059999999,.066228166
